id,en
TR_MENU_EDIT_KEYBINDINGS_MOVE_FORWARDS, Move Forward
TR_MENU_EDIT_KEYBINDINGS_MOVE_LEFT, Move Left
TR_MENU_EDIT_KEYBINDINGS_MOVE_BACKWARDS, Move Backwards
TR_MENU_EDIT_KEYBINDINGS_MOVE_RIGHT, Move Right
